Price,Cup,Hero
3513.238289,42500,82
269.336558,1326,20
2342.158859,35650,71
187.372709,1171,25
20493.89002,72200,85
1979.124236,24423,66
1397.09776,25300,49
989.562118,22865,53
1261.252546,25591,68
1113.696538,24927,60
1397.09776,21601,55
1397.09776,21794,59
1.171079,1,2
234.215886,6600,37
1756.619145,33,82
4684.317719,45500,85
58.553971,406,11
175.661914,2540,34
1990.835031,38804,81
936.863544,5503,27
351.323829,10741,34
878.309572,11700,53
702.647658,22114,69
749.988544,24000,58
999.985896,26500,61
1112.525458,21985,67
819.755601,26247,72
702.647658,9100,36
9999.847251,52900,85
702.647658,12623,49
585.539715,1,1
2927.698574,36000,83
3044.806517,40047,78
4450.101833,36422,78
1171.07943,26841,63
234.215886,7715,34
351.323829,15000,41
210.794297,4300,33
5269.857434,26000,63
1720.725279,41186,57
1435.228106,22500,65
5386.965377,59012,81
7990.00443,70000,85
913.441955,26000,72
1405.295316,35000,69
2342.158859,23705,71
702.647658,19713,60
2342.158859,36000,81
1932.281059,37000,71
1815.173116,31000,68
936.863544,19000,68
1522.403259,33000,78
2927.698574,42000,82
380.000051,6930,43
1600.000153,31800,77
351.323829,4275,41
2107.942974,28109,82
152.240326,413,11
158.095723,400,14
175.661914,403,10
327.90224,416,13
351.323829,464,9
585.539715,1333,19
351.323829,874,17
468.431772,587,14
269.348269,728,16
2342.158859,13060,44
409.8778,403,7
878.309572,11000,40
11799.0,71000,85
140.529532,2000,27
1171.07943,11630,45
1405.295316,34879,72
327.90224,12204,38
468.431772,5673,41
105.397149,1400,19
105.397149,1748,14
149.898167,2290,21
585.539715,18753,57
1463.849287,13631,48
585.539715,14237,46
2276.578411,46460,84
2107.942974,28000,76
761.201629,26416,69
819.755601,28000,70
292.769857,400,5
421.588595,2100,24
392.311609,15227,50
1112.525458,30000,77
1112.525458,30000,78
1053.971487,30000,78
1053.971487,30000,77
1112.525458,30000,77
2634.928717,40192,82
381.771894,10335,49
4098.778004,52663,80
526.985743,6215,33
2927.698574,47000,82
5855.397149,31633,68
200.000458,400,12
76.120163,4471,42
26934.826884,81000,85
1288.187373,28000,79
351.323829,14000,51
784.623218,18094,45
726.069246,9748,50
468.431772,2176,18
117.8035,1024,17
26.472697,430,7
585.539715,13700,53
1053.971487,24500,72
936.863544,20808,56
42158.85947,76121,85
40987.780041,76000,85
1932.281059,38780,75
2927.698574,35000,80
1171.07943,22000,59
1288.187373,30000,71
936.863544,33000,73
585.539715,14730,46
228.360489,4115,36
158.095723,505,27
153.411405,403,23
151.069246,932,32
1592.668024,27014,74
153.411405,1691,32
221.334012,2298,30
146.384929,1203,35
140.529532,1061,32
140.529532,2234,36
363.034623,10911,58
386.456212,1000,15
152.240326,1050,15
585.539715,14720,52
761.201629,27000,79
234.215886,2000,18
1171.07943,28000,72
1756.619145,27200,76
1500.000509,24747,69
9899.13442,61900,83
2969.857434,26160,65
936.863544,23000,62
936.863544,21200,62
1053.971487,20700,59
1171.07943,20100,65
1053.971487,24700,65
2342.158859,30000,74
70.264766,934,19
23421.588595,70,84
1990.835031,23178,62
2342.158859,21933,66
878.309572,22823,57
1018.839104,21609,58
995.417515,20214,50
878.309572,19747,55
409.8778,11969,34
300.000102,8315,37
450.000153,11646,49
1053.971487,14000,59
1194.501018,32500,75
8665.98778,60500,82
8500.86558,62000,82
642.922607,7300,50
99.998473,100,4
46.843177,2,4
146.384929,3343,27
117.107943,2900,15
878.309572,21563,61
2342.158859,31782,79
936.863544,21905,72
925.152749,21700,59
509.419552,23457,57
556.262729,13500,50
38.645621,750,25
58.553971,1316,30
926.544381,12774,39
702.647658,7222,27
819.755601,15300,51
187.372709,1649,29
140.529532,1403,22
315.020367,3245,32
292.769857,3193,33
18.737271,1,1
40987.780041,48000,85
1405.295316,33574,81
